1    Input Finished. Beginning initialisation.
268  2.731000E+00  -5.364212E+00 
269  2.730000E+00  -5.358329E+00 
270  2.729000E+00  -5.352440E+00 
271  2.728000E+00  -5.346526E+00 
272  2.727000E+00  -5.340573E+00 
273  2.726000E+00  -5.334584E+00 
274  2.725000E+00  -5.328565E+00 
275  2.724000E+00  -5.322518E+00 
276  2.723000E+00  -5.316449E+00 
277  2.722000E+00  -5.310361E+00 
278  2.721000E+00  -5.304259E+00 
279  2.720000E+00  -5.298147E+00 
280  2.719000E+00  -5.292028E+00 
281  2.718000E+00  -5.285924E+00 
282  2.717000E+00  -5.279847E+00 
283  2.716000E+00  -5.273795E+00 
284  2.715000E+00  -5.267761E+00 
285  2.714000E+00  -5.261741E+00 
286  2.713000E+00  -5.255732E+00 
287  2.712000E+00  -5.249728E+00 
288  2.711000E+00  -5.243726E+00 
289  2.710000E+00  -5.237720E+00 
290  2.709000E+00  -5.231707E+00 
291  2.708000E+00  -5.225666E+00 
292  2.707000E+00  -5.219583E+00 
293  2.706000E+00  -5.213461E+00 
294  2.705000E+00  -5.207306E+00 
295  2.704000E+00  -5.201120E+00 
296  2.703000E+00  -5.194910E+00 
297  2.702000E+00  -5.188679E+00 
298  2.701000E+00  -5.182432E+00 
299  2.700000E+00  -5.176173E+00 
300  2.699000E+00  -5.169908E+00 
301  2.698000E+00  -5.163656E+00 
302  2.697000E+00  -5.157434E+00 
303  2.696000E+00  -5.151235E+00 
304  2.695000E+00  -5.145057E+00 
305  2.694000E+00  -5.138892E+00 
306  2.693000E+00  -5.132738E+00 
307  2.692000E+00  -5.126589E+00 
308  2.691000E+00  -5.120440E+00 
309  2.690000E+00  -5.114288E+00 
310  2.689000E+00  -5.108126E+00 
311  2.688000E+00  -5.101935E+00 
312  2.687000E+00  -5.095698E+00 
313  2.686000E+00  -5.089420E+00 
314  2.685000E+00  -5.083105E+00 
315  2.684000E+00  -5.076758E+00 
316  2.683000E+00  -5.070384E+00 
317  2.682000E+00  -5.063987E+00 
318  2.681000E+00  -5.057573E+00 
319  2.680000E+00  -5.051146E+00 
320  2.679000E+00  -5.044712E+00 
321  2.678000E+00  -5.038291E+00 
322  2.677000E+00  -5.031902E+00 
323  2.676000E+00  -5.025539E+00 
324  2.675000E+00  -5.019196E+00 
325  2.674000E+00  -5.012869E+00 
326  2.673000E+00  -5.006552E+00 
327  2.672000E+00  -5.000240E+00 
328  2.671000E+00  -4.993929E+00 
329  2.670000E+00  -4.987613E+00 
330  2.669000E+00  -4.981288E+00 
331  2.668000E+00  -4.974932E+00 
332  2.667000E+00  -4.968527E+00 
333  2.666000E+00  -4.962080E+00 
334  2.665000E+00  -4.955593E+00 
335  2.664000E+00  -4.949074E+00 
336  2.663000E+00  -4.942526E+00 
337  2.662000E+00  -4.935954E+00 
338  2.661000E+00  -4.929365E+00 
339  2.660000E+00  -4.922761E+00 
340  2.659000E+00  -4.916150E+00 
341  2.658000E+00  -4.909553E+00 
342  2.657000E+00  -4.902989E+00 
343  2.656000E+00  -4.896452E+00 
344  2.655000E+00  -4.889937E+00 
345  2.654000E+00  -4.883438E+00 
346  2.653000E+00  -4.876950E+00 
347  2.652000E+00  -4.870468E+00 
348  2.651000E+00  -4.863986E+00 
349  2.650000E+00  -4.857500E+00 
350  2.649000E+00  -4.851004E+00 
351  2.648000E+00  -4.844476E+00 
352  2.647000E+00  -4.837898E+00 
353  2.646000E+00  -4.831276E+00 
354  2.645000E+00  -4.824615E+00 
355  2.644000E+00  -4.817919E+00 
356  2.643000E+00  -4.811193E+00 
357  2.642000E+00  -4.804444E+00 
358  2.641000E+00  -4.797676E+00 
359  2.640000E+00  -4.790894E+00 
360  2.639000E+00  -4.784103E+00 
361  2.638000E+00  -4.777327E+00 
362  2.637000E+00  -4.770583E+00 
363  2.636000E+00  -4.763866E+00 
364  2.635000E+00  -4.757171E+00 
365  2.634000E+00  -4.750491E+00 
366  2.633000E+00  -4.743823E+00 
367  2.632000E+00  -4.737159E+00 
368  2.631000E+00  -4.730497E+00 
369  2.630000E+00  -4.723832E+00 
370  2.629000E+00  -4.717159E+00 
371  2.628000E+00  -4.710455E+00 
372  2.627000E+00  -4.703701E+00 
373  2.626000E+00  -4.696904E+00 
374  2.625000E+00  -4.690068E+00 
375  2.624000E+00  -4.683197E+00 
376  2.623000E+00  -4.676299E+00 
377  2.622000E+00  -4.669377E+00 
378  2.621000E+00  -4.662436E+00 
379  2.620000E+00  -4.655483E+00 
380  2.619000E+00  -4.648522E+00 
381  2.618000E+00  -4.641576E+00 
382  2.617000E+00  -4.634663E+00 
383  2.616000E+00  -4.627778E+00 
384  2.615000E+00  -4.620915E+00 
385  2.614000E+00  -4.614070E+00 
386  2.613000E+00  -4.607236E+00 
387  2.612000E+00  -4.600409E+00 
388  2.611000E+00  -4.593584E+00 
389  2.610000E+00  -4.586756E+00 
390  2.609000E+00  -4.579921E+00 
391  2.608000E+00  -4.573055E+00 
392  2.607000E+00  -4.566139E+00 
393  2.606000E+00  -4.559180E+00 
394  2.605000E+00  -4.552181E+00 
395  2.604000E+00  -4.545149E+00 
396  2.603000E+00  -4.538089E+00 
397  2.602000E+00  -4.531005E+00 
398  2.601000E+00  -4.523902E+00 
399  2.600000E+00  -4.516786E+00 
400  2.599000E+00  -4.509663E+00 
401  2.598000E+00  -4.502554E+00 
402  2.597000E+00  -4.495480E+00 
403  2.596000E+00  -4.488434E+00 
404  2.595000E+00  -4.481412E+00 
405  2.594000E+00  -4.474407E+00 
406  2.593000E+00  -4.467414E+00 
407  2.592000E+00  -4.460429E+00 
408  2.591000E+00  -4.453447E+00 
409  2.590000E+00  -4.446463E+00 
410  2.589000E+00  -4.439471E+00 
411  2.588000E+00  -4.432449E+00 
412  2.587000E+00  -4.425378E+00 
413  2.586000E+00  -4.418264E+00 
414  2.585000E+00  -4.411111E+00 
415  2.584000E+00  -4.403925E+00 
416  2.583000E+00  -4.396711E+00 
417  2.582000E+00  -4.389473E+00 
418  2.581000E+00  -4.382217E+00 
419  2.580000E+00  -4.374948E+00 
420  2.579000E+00  -4.367670E+00 
421  2.578000E+00  -4.360408E+00 
422  2.577000E+00  -4.353180E+00 
423  2.576000E+00  -4.345981E+00 
424  2.575000E+00  -4.338804E+00 
425  2.574000E+00  -4.331646E+00 
426  2.573000E+00  -4.324501E+00 
427  2.572000E+00  -4.317364E+00 
428  2.571000E+00  -4.310230E+00 
429  2.570000E+00  -4.303095E+00 
430  2.569000E+00  -4.295954E+00 
431  2.568000E+00  -4.288783E+00 
432  2.567000E+00  -4.281565E+00 
433  2.566000E+00  -4.274304E+00 
434  2.565000E+00  -4.267005E+00 
435  2.564000E+00  -4.259674E+00 
436  2.563000E+00  -4.252315E+00 
437  2.562000E+00  -4.244934E+00 
438  2.561000E+00  -4.237535E+00 
439  2.560000E+00  -4.230123E+00 
440  2.559000E+00  -4.222704E+00 
441  2.558000E+00  -4.215300E+00 
442  2.557000E+00  -4.207930E+00 
443  2.556000E+00  -4.200589E+00 
444  2.555000E+00  -4.193272E+00 
